Experiment name:,NeuLog experiment
'1:57.95,2.9299
'1:58,2.9278
'1:58.05,2.9259
'1:58.1,2.9240
'1:58.15,2.9221
'1:58.2,2.9202
'1:58.25,2.9183
'1:58.3,2.9167
'1:58.35,2.9152
'1:58.4,2.9143
'1:58.45,2.9131
'1:58.5,2.9119
'1:58.55,2.9110
'1:58.6,2.9103
'1:58.65,2.9096
'1:58.7,2.9089
'1:58.75,2.9082
'1:58.8,2.9075
'1:58.85,2.9072
'1:58.9,2.9068
'1:58.95,2.9060
'1:59,2.9051
'1:59.05,2.9044
'1:59.1,2.9042
'1:59.15,2.9037
'1:59.2,2.9032
'1:59.25,2.9028
'1:59.3,2.9028
'1:59.35,2.9028
'1:59.4,2.9032
'1:59.45,2.9035
'1:59.5,2.9035
'1:59.55,2.9030
'1:59.6,2.9025
'1:59.65,2.9021
'1:59.7,2.9016
'1:59.75,2.9013
'1:59.8,2.9009
'1:59.85,2.9004
'1:59.9,2.9002
'1:59.95,2.8995
'2:00,2.8983
'2:00.05,2.8974
'2:00.1,2.8964
'2:00.15,2.8957
'2:00.2,2.8945
'2:00.25,2.8936
'2:00.3,2.8924
'2:00.35,2.8915
'2:00.4,2.8906
'2:00.45,2.8894
'2:00.5,2.8878
'2:00.55,2.8787
'2:00.6,2.8562
'2:00.65,2.8344
'2:00.7,2.8236
'2:00.75,2.8234
'2:00.8,2.8277
'2:00.85,2.8318
'2:00.9,2.8344
'2:00.95,2.8366
'2:01,2.8383
'2:01.05,2.8378
'2:01.1,2.8371
'2:01.15,2.8373
'2:01.2,2.8371
'2:01.25,2.8362
'2:01.3,2.8350
'2:01.35,2.8337
'2:01.4,2.8323
'2:01.45,2.8309
'2:01.5,2.8293
'2:01.55,2.8280
'2:01.6,2.8266
'2:01.65,2.8252
'2:01.7,2.8236
'2:01.75,2.8218
'2:01.8,2.8202
'2:01.85,2.8186
'2:01.9,2.8175
'2:01.95,2.8159
'2:02,2.8143
'2:02.05,2.8129
'2:02.1,2.8113
'2:02.15,2.8100
'2:02.2,2.8089
'2:02.25,2.8075
'2:02.3,2.8061
'2:02.35,2.8048
'2:02.4,2.8034
'2:02.45,2.8021
'2:02.5,2.8007
'2:02.55,2.7996
'2:02.6,2.7982
'2:02.65,2.7971
'2:02.7,2.7960
'2:02.75,2.7951
'2:02.8,2.7944
'2:02.85,2.7944
'2:02.9,2.7948
'2:02.95,2.7944
'2:03,2.7930
'2:03.05,2.7917
'2:03.1,2.7903
'2:03.15,2.7894
'2:03.2,2.7897
'2:03.25,2.7901
'2:03.3,2.7903
'2:03.35,2.7899
'2:03.4,2.7901
'2:03.45,2.7912
'2:03.5,2.7919
'2:03.55,2.7930
'2:03.6,2.7942
'2:03.65,2.7953
'2:03.7,2.7960
'2:03.75,2.7967
'2:03.8,2.7973
'2:03.85,2.7982
'2:03.9,2.7996
'2:03.95,2.8003
'2:04,2.8009
'2:04.05,2.8016
'2:04.1,2.8027
'2:04.15,2.8036
'2:04.2,2.8043
'2:04.25,2.8050
'2:04.3,2.8055
'2:04.35,2.8064
'2:04.4,2.8073
'2:04.45,2.8073
'2:04.5,2.8068
'2:04.55,2.8066
'2:04.6,2.8059
'2:04.65,2.8050
'2:04.7,2.8039
'2:04.75,2.8034
'2:04.8,2.8034
'2:04.85,2.8034
'2:04.9,2.8030
'2:04.95,2.8018
'2:05,2.8007
'2:05.05,2.7994
'2:05.1,2.7982
'2:05.15,2.7971
'2:05.2,2.7962
'2:05.25,2.7951
'2:05.3,2.7939
'2:05.35,2.7933
'2:05.4,2.7935
'2:05.45,2.7937
'2:05.5,2.7935
'2:05.55,2.7928
'2:05.6,2.7915
'2:05.65,2.7899
'2:05.7,2.7883
'2:05.75,2.7867
'2:05.8,2.7852
'2:05.85,2.7838
'2:05.9,2.7825
'2:05.95,2.7818
'2:06,2.7820
'2:06.05,2.7818
'2:06.1,2.7814
'2:06.15,2.7805
'2:06.2,2.7791
'2:06.25,2.7769
'2:06.3,2.7746
'2:06.35,2.7726
'2:06.4,2.7713
'2:06.45,2.7702
'2:06.5,2.7684
'2:06.55,2.7668
'2:06.6,2.7655
'2:06.65,2.7642
'2:06.7,2.7630
'2:06.75,2.7615
'2:06.8,2.7590
'2:06.85,2.7573
'2:06.9,2.7573
'2:06.95,2.7599
'2:07,2.7644
'2:07.05,2.7706
'2:07.1,2.7791
'2:07.15,2.7897
'2:07.2,2.8018
'2:07.25,2.8152
'2:07.3,2.8309
'2:07.35,2.8497
'2:07.4,2.8708
'2:07.45,2.8929
'2:07.5,2.9164
'2:07.55,2.9420
'2:07.6,2.9694
'2:07.65,2.9989
'2:07.7,3.0303
'2:07.75,3.0608
'2:07.8,3.0909
'2:07.85,3.1228
'2:07.9,3.1562
'2:07.95,3.1884
'2:08,3.2194
'2:08.05,3.2481
'2:08.1,3.2758
'2:08.15,3.3034
'2:08.2,3.3280
'2:08.25,3.3487
'2:08.3,3.3676
'2:08.35,3.3857
'2:08.4,3.4020
'2:08.45,3.4159
'2:08.5,3.4287
'2:08.55,3.4421
'2:08.6,3.4558
'2:08.65,3.4685
'2:08.7,3.4783
'2:08.75,3.4850
'2:08.8,3.4899
'2:08.85,3.4963
'2:08.9,3.5039
'2:08.95,3.5109
'2:09,3.5177
'2:09.05,3.5244
'2:09.1,3.5277
'2:09.15,3.5285
'2:09.2,3.5285
'2:09.25,3.5283
'2:09.3,3.5280
'2:09.35,3.5277
'2:09.4,3.5262
'2:09.45,3.5230
'2:09.5,3.5194
'2:09.55,3.5159
'2:09.6,3.5133
'2:09.65,3.5101
'2:09.7,3.5057
'2:09.75,3.5004
'2:09.8,3.4949
'2:09.85,3.4905
'2:09.9,3.4864
'2:09.95,3.4827
'2:10,3.4789
'2:10.05,3.4751
'2:10.1,3.4705
'2:10.15,3.4653
'2:10.2,3.4601
'2:10.25,3.4550
'2:10.3,3.4495
'2:10.35,3.4438
'2:10.4,3.4381
'2:10.45,3.4324
'2:10.5,3.4258
'2:10.55,3.4190
'2:10.6,3.4119
'2:10.65,3.4049
'2:10.7,3.3975
'2:10.75,3.3905
'2:10.8,3.3832
'2:10.85,3.3762
'2:10.9,3.3695
'2:10.95,3.3626
'2:11,3.3551
'2:11.05,3.3476
'2:11.1,3.3407
'2:11.15,3.3338
'2:11.2,3.3272
'2:11.25,3.3203
'2:11.3,3.3132
'2:11.35,3.3064
'2:11.4,3.2999
'2:11.45,3.2933
'2:11.5,3.2866
'2:11.55,3.2798
'2:11.6,3.2728
'2:11.65,3.2666
'2:11.7,3.2610
'2:11.75,3.2548
'2:11.8,3.2489
'2:11.85,3.2436
'2:11.9,3.2385
'2:11.95,3.2337
'2:12,3.2298
'2:12.05,3.2253
'2:12.1,3.2200
'2:12.15,3.2147
'2:12.2,3.2097
'2:12.25,3.2055
'2:12.3,3.2015
'2:12.35,3.1973
'2:12.4,3.1931
'2:12.45,3.1892
'2:12.5,3.1856
'2:12.55,3.1814
'2:12.6,3.1777
'2:12.65,3.1749
'2:12.7,3.1725
'2:12.75,3.1694
'2:12.8,3.1655
'2:12.85,3.1601
'2:12.9,3.1547
'2:12.95,3.1503
'2:13,3.1464
'2:13.05,3.1431
'2:13.1,3.1395
'2:13.15,3.1356
'2:13.2,3.1318
'2:13.25,3.1282
'2:13.3,3.1246
'2:13.35,3.1208
'2:13.4,3.1170
'2:13.45,3.1134
'2:13.5,3.1099
'2:13.55,3.1063
'2:13.6,3.1028
'2:13.65,3.0995
'2:13.7,3.0962
'2:13.75,3.0929
'2:13.8,3.0894
'2:13.85,3.0861
'2:13.9,3.0831
'2:13.95,3.0801
'2:14,3.0766
'2:14.05,3.0730
'2:14.1,3.0698
'2:14.15,3.0668
'2:14.2,3.0638
'2:14.25,3.0606
'2:14.3,3.0571
'2:14.35,3.0541
'2:14.4,3.0511
'2:14.45,3.0481
'2:14.5,3.0451
'2:14.55,3.0419
'2:14.6,3.0387
'2:14.65,3.0357
'2:14.7,3.0328
'2:14.75,3.0301
'2:14.8,3.0273
'2:14.85,3.0246
'2:14.9,3.0219
'2:14.95,3.0192
'2:15,3.0165
'2:15.05,3.0138
'2:15.1,3.0111
'2:15.15,3.0085
'2:15.2,3.0058
'2:15.25,3.0033
'2:15.3,3.0006
'2:15.35,2.9982
'2:15.4,2.9958
'2:15.45,2.9936
'2:15.5,2.9911
'2:15.55,2.9890
'2:15.6,2.9870
'2:15.65,2.9848
'2:15.7,2.9824
'2:15.75,2.9798
'2:15.8,2.9771
'2:15.85,2.9747
'2:15.9,2.9725
'2:15.95,2.9699
'2:16,2.9674
'2:16.05,2.9655
'2:16.1,2.9634
'2:16.15,2.9612
'2:16.2,2.9588
'2:16.25,2.9564
'2:16.3,2.9540
'2:16.35,2.9514
'2:16.4,2.9490
'2:16.45,2.9468
'2:16.5,2.9447
'2:16.55,2.9423
'2:16.6,2.9399
'2:16.65,2.9378
'2:16.7,2.9354
'2:16.75,2.9328
'2:16.8,2.9304
'2:16.85,2.9283
'2:16.9,2.9259
'2:16.95,2.9233
'2:17,2.9207
'2:17.05,2.9183
'2:17.1,2.9159
'2:17.15,2.9136
'2:17.2,2.9110
'2:17.25,2.9086
'2:17.3,2.9063
'2:17.35,2.9039
'2:17.4,2.9016
'2:17.45,2.8995
'2:17.5,2.8976
'2:17.55,2.8957
'2:17.6,2.8943
'2:17.65,2.8927
'2:17.7,2.8908
'2:17.75,2.8892
'2:17.8,2.8875
'2:17.85,2.8859
'2:17.9,2.8845
'2:17.95,2.8826
'2:18,2.8805
'2:18.05,2.8784
'2:18.1,2.8766
'2:18.15,2.8745
'2:18.2,2.8724
'2:18.25,2.8705
'2:18.3,2.8687
'2:18.35,2.8666
'2:18.4,2.8640
'2:18.45,2.8615
'2:18.5,2.8590
'2:18.55,2.8566
'2:18.6,2.8546
'2:18.65,2.8525
'2:18.7,2.8502
'2:18.75,2.8479
'2:18.8,2.8458
'2:18.85,2.8438
'2:18.9,2.8417
'2:18.95,2.8394
'2:19,2.8371
'2:19.05,2.8348
'2:19.1,2.8328
'2:19.15,2.8305
'2:19.2,2.8284
'2:19.25,2.8264
'2:19.3,2.8245
'2:19.35,2.8225
'2:19.4,2.8207
'2:19.45,2.8186
'2:19.5,2.8166
'2:19.55,2.8148
'2:19.6,2.8132
'2:19.65,2.8113
'2:19.7,2.8098
'2:19.75,2.8082
'2:19.8,2.8066
'2:19.85,2.8052
'2:19.9,2.8039
'2:19.95,2.8025
'2:20,2.8012
'2:20.05,2.8000
'2:20.1,2.7989
'2:20.15,2.7978
'2:20.2,2.7969
'2:20.25,2.7962
'2:20.3,2.7957
'2:20.35,2.7955
'2:20.4,2.7953
'2:20.45,2.7948
'2:20.5,2.7944
'2:20.55,2.7939
'2:20.6,2.7935
'2:20.65,2.7928
'2:20.7,2.7921
'2:20.75,2.7912
'2:20.8,2.7897
'2:20.85,2.7885
'2:20.9,2.7872
'2:20.95,2.7854
'2:21,2.7838
'2:21.05,2.7827
'2:21.1,2.7818
'2:21.15,2.7802
'2:21.2,2.7785
'2:21.25,2.7771
'2:21.3,2.7760
'2:21.35,2.7749
'2:21.4,2.7733
'2:21.45,2.7722
'2:21.5,2.7713
'2:21.55,2.7702
'2:21.6,2.7688
'2:21.65,2.7668
'2:21.7,2.7651
'2:21.75,2.7633
'2:21.8,2.7615
'2:21.85,2.7597
'2:21.9,2.7582
'2:21.95,2.7564
'2:22,2.7546
'2:22.05,2.7526
'2:22.1,2.7513
'2:22.15,2.7502
'2:22.2,2.7493
'2:22.25,2.7482
'2:22.3,2.7469
'2:22.35,2.7453
'2:22.4,2.7438
'2:22.45,2.7424
'2:22.5,2.7411
'2:22.55,2.7400
'2:22.6,2.7389
'2:22.65,2.7378
'2:22.7,2.7363
'2:22.75,2.7345
'2:22.8,2.7330
'2:22.85,2.7316
'2:22.9,2.7305
'2:22.95,2.7294
'2:23,2.7281
'2:23.05,2.7268
'2:23.1,2.7257
'2:23.15,2.7246
'2:23.2,2.7233
'2:23.25,2.7220
'2:23.3,2.7207
'2:23.35,2.7196
'2:23.4,2.7187
'2:23.45,2.7178
'2:23.5,2.7165
'2:23.55,2.7150
'2:23.6,2.7130
'2:23.65,2.7111
'2:23.7,2.7095
'2:23.75,2.7080
'2:23.8,2.7063
'2:23.85,2.7050
'2:23.9,2.7039
'2:23.95,2.7024
'2:24,2.7008
'2:24.05,2.6993
'2:24.1,2.6978
'2:24.15,2.6963
'2:24.2,2.6948
'2:24.25,2.6933
'2:24.3,2.6917
'2:24.35,2.6900
'2:24.4,2.6883
'2:24.45,2.6865
'2:24.5,2.6850
'2:24.55,2.6833
'2:24.6,2.6818
'2:24.65,2.6803
'2:24.7,2.6788
'2:24.75,2.6773
'2:24.8,2.6758
'2:24.85,2.6745
'2:24.9,2.6730
'2:24.95,2.6713
'2:25,2.6698
'2:25.05,2.6683
'2:25.1,2.6670
'2:25.15,2.6657
'2:25.2,2.6644
'2:25.25,2.6629
'2:25.3,2.6616
'2:25.35,2.6601
'2:25.4,2.6586
'2:25.45,2.6576
'2:25.5,2.6561
'2:25.55,2.6546
'2:25.6,2.6533
'2:25.65,2.6520
'2:25.7,2.6505
'2:25.75,2.6490
'2:25.8,2.6478
'2:25.85,2.6469
'2:25.9,2.6454
'2:25.95,2.6439
'2:26,2.6425
'2:26.05,2.6408
'2:26.1,2.6395
'2:26.15,2.6384
'2:26.2,2.6378
'2:26.25,2.6370
'2:26.3,2.6359
'2:26.35,2.6344
'2:26.4,2.6329
'2:26.45,2.6317
'2:26.5,2.6310
'2:26.55,2.6304
'2:26.6,2.6300
'2:26.65,2.6293
'2:26.7,2.6283
'2:26.75,2.6268
'2:26.8,2.6253
'2:26.85,2.6239
'2:26.9,2.6226
'2:26.95,2.6213
'2:27,2.6203
'2:27.05,2.6192
'2:27.1,2.6182
'2:27.15,2.6169
'2:27.2,2.6157
'2:27.25,2.6144
'2:27.3,2.6127
'2:27.35,2.6113
'2:27.4,2.6098
'2:27.45,2.6083
'2:27.5,2.6069
'2:27.55,2.6058
'2:27.6,2.6048
'2:27.65,2.6035
'2:27.7,2.6025
'2:27.75,2.6012
'2:27.8,2.6002
'2:27.85,2.5991
'2:27.9,2.5979
'2:27.95,2.5964
'2:28,2.5950
'2:28.05,2.5935
'2:28.1,2.5925
'2:28.15,2.5912
'2:28.2,2.5900
'2:28.25,2.5887
'2:28.3,2.5875
'2:28.35,2.5863
'2:28.4,2.5852
'2:28.45,2.5842
'2:28.5,2.5829
'2:28.55,2.5815
'2:28.6,2.5800
'2:28.65,2.5788
'2:28.7,2.5778
'2:28.75,2.5765
'2:28.8,2.5753
'2:28.85,2.5745
'2:28.9,2.5739
'2:28.95,2.5726
'2:29,2.5716
'2:29.05,2.5706
'2:29.1,2.5697
'2:29.15,2.5687
'2:29.2,2.5679
'2:29.25,2.5673
'2:29.3,2.5666
'2:29.35,2.5658
'2:29.4,2.5652
'2:29.45,2.5648
'2:29.5,2.5642
'2:29.55,2.5634
'2:29.6,2.5627
'2:29.65,2.5619
'2:29.7,2.5613
'2:29.75,2.5609
'2:29.8,2.5603
'2:29.85,2.5597
'2:29.9,2.5592
'2:29.95,2.5584
'2:30,2.5576
'2:30.05,2.5572
'2:30.1,2.5566
'2:30.15,2.5562
'2:30.2,2.5558
'2:30.25,2.5551
'2:30.3,2.5545
'2:30.35,2.5537
'2:30.4,2.5533
'2:30.45,2.5529
'2:30.5,2.5523
'2:30.55,2.5517
'2:30.6,2.5511
'2:30.65,2.5504
'2:30.7,2.5496
'2:30.75,2.5488
'2:30.8,2.5482
'2:30.85,2.5478
'2:30.9,2.5476
'2:30.95,2.5470
'2:31,2.5462
'2:31.05,2.5453
'2:31.1,2.5447
'2:31.15,2.5439
'2:31.2,2.5431
'2:31.25,2.5423
'2:31.3,2.5417
'2:31.35,2.5411
'2:31.4,2.5402
'2:31.45,2.5394
'2:31.5,2.5386
'2:31.55,2.5376
'2:31.6,2.5366
'2:31.65,2.5358
'2:31.7,2.5350
'2:31.75,2.5342
'2:31.8,2.5331
'2:31.85,2.5323
'2:31.9,2.5313
'2:31.95,2.5301
'2:32,2.5289
'2:32.05,2.5275
'2:32.1,2.5262
'2:32.15,2.5248
'2:32.2,2.5234
'2:32.25,2.5220
'2:32.3,2.5204
'2:32.35,2.5190
'2:32.4,2.5172
'2:32.45,2.5160
'2:32.5,2.5149
'2:32.55,2.5141
'2:32.6,2.5137
'2:32.65,2.5137
'2:32.7,2.5143
'2:32.75,2.5155
'2:32.8,2.5176
'2:32.85,2.5204
'2:32.9,2.5240
'2:32.95,2.5283
'2:33,2.5331
'2:33.05,2.5386
'2:33.1,2.5451
'2:33.15,2.5521
'2:33.2,2.5599
'2:33.25,2.5689
'2:33.3,2.5786
'2:33.35,2.5887
'2:33.4,2.5996
'2:33.45,2.6113
'2:33.5,2.6247
'2:33.55,2.6384
'2:33.6,2.6512
'2:33.65,2.6633
'2:33.7,2.6749
'2:33.75,2.6865
'2:33.8,2.6982
'2:33.85,2.7115
'2:33.9,2.7273
'2:33.95,2.7433
'2:34,2.7577
'2:34.05,2.7711
'2:34.1,2.7845
'2:34.15,2.7971
'2:34.2,2.8107
'2:34.25,2.8259
'2:34.3,2.8424
'2:34.35,2.8576
'2:34.4,2.8710
'2:34.45,2.8824
'2:34.5,2.8924
'2:34.55,2.9018
'2:34.6,2.9115
'2:34.65,2.9195
'2:34.7,2.9254
'2:34.75,2.9299
'2:34.8,2.9342
'2:34.85,2.9387
'2:34.9,2.9432
'2:34.95,2.9471
'2:35,2.9506
'2:35.05,2.9542
'2:35.1,2.9574
'2:35.15,2.9602
'2:35.2,2.9629
'2:35.25,2.9658
'2:35.3,2.9682
'2:35.35,2.9699
'2:35.4,2.9708
'2:35.45,2.9713
'2:35.5,2.9715
'2:35.55,2.9715
'2:35.6,2.9715
'2:35.65,2.9706
'2:35.7,2.9694
'2:35.75,2.9684
'2:35.8,2.9670
'2:35.85,2.9650
'2:35.9,2.9626
'2:35.95,2.9598
'2:36,2.9569
'2:36.05,2.9540
'2:36.1,2.9509
'2:36.15,2.9475
'2:36.2,2.9442
'2:36.25,2.9409
'2:36.3,2.9370
'2:36.35,2.9332
'2:36.4,2.9294
'2:36.45,2.9256
'2:36.5,2.9216
'2:36.55,2.9176
'2:36.6,2.9136
'2:36.65,2.9098
'2:36.7,2.9056
'2:36.75,2.9016
'2:36.8,2.8976
'2:36.85,2.8936
'2:36.9,2.8896
'2:36.95,2.8857
'2:37,2.8819
'2:37.05,2.8782
'2:37.1,2.8742
'2:37.15,2.8703
'2:37.2,2.8668
'2:37.25,2.8634
'2:37.3,2.8601
'2:37.35,2.8566
'2:37.4,2.8532
'2:37.45,2.8500
'2:37.5,2.8465
'2:37.55,2.8431
'2:37.6,2.8399
'2:37.65,2.8362
'2:37.7,2.8323
'2:37.75,2.8289
'2:37.8,2.8273
'2:37.85,2.8264
'2:37.9,2.8252
'2:37.95,2.8225
'2:38,2.8191
'2:38.05,2.8157
'2:38.1,2.8132
'2:38.15,2.8111
'2:38.2,2.8095
'2:38.25,2.8077
'2:38.3,2.8052
'2:38.35,2.8025
'2:38.4,2.7998
'2:38.45,2.7978
'2:38.5,2.7960
'2:38.55,2.7942
'2:38.6,2.7919
'2:38.65,2.7899
'2:38.7,2.7881
'2:38.75,2.7865
'2:38.8,2.7847
'2:38.85,2.7832
'2:38.9,2.7814
'2:38.95,2.7791
'2:39,2.7767
'2:39.05,2.7742
'2:39.1,2.7717
'2:39.15,2.7697
'2:39.2,2.7677
'2:39.25,2.7659
'2:39.3,2.7642
'2:39.35,2.7624
'2:39.4,2.7604
'2:39.45,2.7577
'2:39.5,2.7539
'2:39.55,2.7506
'2:39.6,2.7482
'2:39.65,2.7462
'2:39.7,2.7442
'2:39.75,2.7420
'2:39.8,2.7398
'2:39.85,2.7385
'2:39.9,2.7374
'2:39.95,2.7358
'2:40,2.7338
'2:40.05,2.7321
'2:40.1,2.7303
'2:40.15,2.7283
'2:40.2,2.7266
'2:40.25,2.7251
'2:40.3,2.7240
'2:40.35,2.7222
'2:40.4,2.7207
'2:40.45,2.7191
'2:40.5,2.7176
'2:40.55,2.7163
'2:40.6,2.7150
'2:40.65,2.7135
'2:40.7,2.7124
'2:40.75,2.7111
'2:40.8,2.7095
'2:40.85,2.7080
'2:40.9,2.7067
'2:40.95,2.7048
'2:41,2.7030
'2:41.05,2.7013
'2:41.1,2.6995
'2:41.15,2.6982
'2:41.2,2.6972
'2:41.25,2.6959
'2:41.3,2.6943
'2:41.35,2.6926
'2:41.4,2.6911
'2:41.45,2.6896
'2:41.5,2.6881
'2:41.55,2.6865
'2:41.6,2.6850
'2:41.65,2.6837
'2:41.7,2.6825
'2:41.75,2.6812
'2:41.8,2.6796
'2:41.85,2.6786
'2:41.9,2.6775
'2:41.95,2.6760
'2:42,2.6747
'2:42.05,2.6732
'2:42.1,2.6717
'2:42.15,2.6704
'2:42.2,2.6689
'2:42.25,2.6678
'2:42.3,2.6666
'2:42.35,2.6653
'2:42.4,2.6642
'2:42.45,2.6627
'2:42.5,2.6614
'2:42.55,2.6601
'2:42.6,2.6586
'2:42.65,2.6571
'2:42.7,2.6557
'2:42.75,2.6544
'2:42.8,2.6529
'2:42.85,2.6518
'2:42.9,2.6505
'2:42.95,2.6493
'2:43,2.6478
'2:43.05,2.6465
'2:43.1,2.6450
'2:43.15,2.6437
'2:43.2,2.6425
'2:43.25,2.6412
'2:43.3,2.6399
'2:43.35,2.6386
'2:43.4,2.6374
'2:43.45,2.6361
'2:43.5,2.6351
'2:43.55,2.6338
'2:43.6,2.6325
'2:43.65,2.6312
'2:43.7,2.6302
'2:43.75,2.6289
'2:43.8,2.6277
'2:43.85,2.6264
'2:43.9,2.6251
'2:43.95,2.6237
'2:44,2.6224
'2:44.05,2.6213
'2:44.1,2.6201
'2:44.15,2.6190
'2:44.2,2.6178
'2:44.25,2.6167
'2:44.3,2.6157
'2:44.35,2.6146
'2:44.4,2.6138
'2:44.45,2.6127
'2:44.5,2.6117
'2:44.55,2.6106
'2:44.6,2.6096
'2:44.65,2.6085
'2:44.7,2.6073
'2:44.75,2.6060
'2:44.8,2.6050
'2:44.85,2.6039
'2:44.9,2.6029
'2:44.95,2.6017
'2:45,2.6006
'2:45.05,2.5996
'2:45.1,2.5985
'2:45.15,2.5975
'2:45.2,2.5964
'2:45.25,2.5954
'2:45.3,2.5946
'2:45.35,2.5935
'2:45.4,2.5927
'2:45.45,2.5917
'2:45.5,2.5906
'2:45.55,2.5896
'2:45.6,2.5885
'2:45.65,2.5875
'2:45.7,2.5865
'2:45.75,2.5854
'2:45.8,2.5842
'2:45.85,2.5834
'2:45.9,2.5823
'2:45.95,2.5811
'2:46,2.5798
'2:46.05,2.5786
'2:46.1,2.5776
'2:46.15,2.5765
'2:46.2,2.5757
'2:46.25,2.5745
'2:46.3,2.5732
'2:46.35,2.5724
'2:46.4,2.5712
'2:46.45,2.5701
'2:46.5,2.5691
'2:46.55,2.5681
'2:46.6,2.5671
'2:46.65,2.5660
'2:46.7,2.5648
'2:46.75,2.5638
'2:46.8,2.5627
'2:46.85,2.5617
'2:46.9,2.5609
'2:46.95,2.5599
'2:47,2.5586
'2:47.05,2.5574
'2:47.1,2.5564
'2:47.15,2.5551
'2:47.2,2.5541
'2:47.25,2.5533
'2:47.3,2.5523
'2:47.35,2.5513
'2:47.4,2.5502
'2:47.45,2.5490
'2:47.5,2.5480
'2:47.55,2.5470
'2:47.6,2.5460
'2:47.65,2.5447
'2:47.7,2.5435
'2:47.75,2.5425
'2:47.8,2.5411
'2:47.85,2.5402
'2:47.9,2.5392
'2:47.95,2.5382
'2:48,2.5372
'2:48.05,2.5362
'2:48.1,2.5352
'2:48.15,2.5342
'2:48.2,2.5331
'2:48.25,2.5319
'2:48.3,2.5309
'2:48.35,2.5299
'2:48.4,2.5289
'2:48.45,2.5279
'2:48.5,2.5269
'2:48.55,2.5256
'2:48.6,2.5246
'2:48.65,2.5238
'2:48.7,2.5228
'2:48.75,2.5218
'2:48.8,2.5206
'2:48.85,2.5198
'2:48.9,2.5192
'2:48.95,2.5186
'2:49,2.5178
'2:49.05,2.5166
'2:49.1,2.5153
'2:49.15,2.5143
'2:49.2,2.5135
'2:49.25,2.5127
'2:49.3,2.5119
'2:49.35,2.5111
'2:49.4,2.5101
'2:49.45,2.5091
'2:49.5,2.5083
'2:49.55,2.5075
'2:49.6,2.5069
'2:49.65,2.5063
'2:49.7,2.5057
'2:49.75,2.5051
'2:49.8,2.5045
'2:49.85,2.5043
'2:49.9,2.5039
'2:49.95,2.5033
'2:50,2.5027
'2:50.05,2.5023
'2:50.1,2.5015
'2:50.15,2.5007
'2:50.2,2.4997
'2:50.25,2.4987
'2:50.3,2.4977
'2:50.35,2.4967
'2:50.4,2.4959
'2:50.45,2.4951
'2:50.5,2.4937
'2:50.55,2.4927
'2:50.6,2.4919
'2:50.65,2.4911
'2:50.7,2.4901
'2:50.75,2.4889
'2:50.8,2.4879
'2:50.85,2.4873
'2:50.9,2.4863
'2:50.95,2.4853
'2:51,2.4845
'2:51.05,2.4837
'2:51.1,2.4831
'2:51.15,2.4825
'2:51.2,2.4817
'2:51.25,2.4812
'2:51.3,2.4806
'2:51.35,2.4800
'2:51.4,2.4796
'2:51.45,2.4790
'2:51.5,2.4778
'2:51.55,2.4770
'2:51.6,2.4764
'2:51.65,2.4756
'2:51.7,2.4748
'2:51.75,2.4740
'2:51.8,2.4734
'2:51.85,2.4730
'2:51.9,2.4726
'2:51.95,2.4718
'2:52,2.4712
'2:52.05,2.4710
'2:52.1,2.4712
'2:52.15,2.4716
'2:52.2,2.4718
'2:52.25,2.4716
'2:52.3,2.4716
'2:52.35,2.4714
'2:52.4,2.4712
'2:52.45,2.4708
'2:52.5,2.4707
'2:52.55,2.4705
'2:52.6,2.4705
'2:52.65,2.4703
'2:52.7,2.4703
'2:52.75,2.4705
'2:52.8,2.4707
'2:52.85,2.4708
'2:52.9,2.4710
'2:52.95,2.4710
'2:53,2.4712
'2:53.05,2.4714
'2:53.1,2.4714
'2:53.15,2.4716
'2:53.2,2.4716
'2:53.25,2.4714
'2:53.3,2.4714
'2:53.35,2.4708
'2:53.4,2.4705
'2:53.45,2.4703
'2:53.5,2.4701
'2:53.55,2.4695
'2:53.6,2.4689
'2:53.65,2.4685
'2:53.7,2.4681
'2:53.75,2.4675
'2:53.8,2.4671
'2:53.85,2.4673
'2:53.9,2.4677
'2:53.95,2.4675
'2:54,2.4673
'2:54.05,2.4671
'2:54.1,2.4671
'2:54.15,2.4669
'2:54.2,2.4669
'2:54.25,2.4671
'2:54.3,2.4673
'2:54.35,2.4677
'2:54.4,2.4681
'2:54.45,2.4689
'2:54.5,2.4697
'2:54.55,2.4705
'2:54.6,2.4714
'2:54.65,2.4726
'2:54.7,2.4740
'2:54.75,2.4752
'2:54.8,2.4766
'2:54.85,2.4780
'2:54.9,2.4796
'2:54.95,2.4810
'2:55,2.4825
'2:55.05,2.4843
'2:55.1,2.4865
'2:55.15,2.4887
'2:55.2,2.4913
'2:55.25,2.4941
'2:55.3,2.4971
'2:55.35,2.5007
'2:55.4,2.5049
'2:55.45,2.5093
'2:55.5,2.5143
'2:55.55,2.5198
'2:55.6,2.5252
'2:55.65,2.5315
'2:55.7,2.5382
'2:55.75,2.5455
'2:55.8,2.5533
'2:55.85,2.5619
'2:55.9,2.5706
'2:55.95,2.5798
'2:56,2.5896
'2:56.05,2.5994
'2:56.1,2.6090
'2:56.15,2.6186
'2:56.2,2.6285
'2:56.25,2.6389
'2:56.3,2.6490
'2:56.35,2.6589
'2:56.4,2.6683
'2:56.45,2.6773
'2:56.5,2.6870
'2:56.55,2.6972
'2:56.6,2.7069
'2:56.65,2.7161
